FID,station,lat,lon,regarea,stn_type,stn_type_n,rca,mpa,mpa_name
0,2001,48.33333333,234.3666667,2B,standard,1,0,0, 
1,2002,48.33333333,234.1166667,2B,standard,1,0,0, 
2,2003,48.5,234.6166667,2B,standard,1,0,0, 
3,2004,48.5,234.3666667,2B,standard,1,0,0, 
4,2005,48.5,234.1166667,2B,standard,1,0,0, 
5,2006,48.5,233.8666667,2B,standard,1,0,0, 
6,2007,48.66666667,234.8833333,2B,standard,1,0,0, 
7,2008,48.66666667,234.6166667,2B,standard,1,0,0, 
8,2009,48.66666667,234.3666667,2B,standard,1,0,0, 
9,2010,48.66666667,234.1166667,2B,standard,1,0,0, 
10,2011,48.66666667,233.8666667,2B,standard,1,0,0, 
11,2012,48.83333333,234.3833333,2B,standard,1,0,0, 
12,2013,48.83333333,234.1166667,2B,standard,1,0,0, 
13,2014,48.83333333,233.8666667,2B,standard,1,0,0, 
14,2015,48.83333333,233.6166667,2B,standard,1,0,0, 
15,2016,49,233.8666667,2B,standard,1,0,0, 
16,2017,49,233.6166667,2B,standard,1,0,0, 
17,2018,49,233.3666667,2B,standard,1,0,0, 
18,2019,49.16666667,233.6166667,2B,standard,1,0,0, 
19,2020,49.16666667,233.3666667,2B,standard,1,0,0, 
20,2021,49.16666667,233.1166667,2B,standard,1,0,0, 
21,2023,49.33333333,233.6166667,2B,standard,1,0,0, 
22,2024,49.33333333,233.3666667,2B,standard,1,1,0, 
23,2025,49.33333333,233.1166667,2B,standard,1,0,0, 
24,2026,49.33333333,232.85,2B,standard,1,0,0, 
25,2027,49.5,233.3666667,2B,standard,1,0,0, 
26,2028,49.5,233.1166667,2B,standard,1,0,0, 
27,2029,49.5,232.85,2B,standard,1,0,0, 
28,2030,49.66666667,232.85,2B,standard,1,0,0, 
29,2031,49.66666667,232.6,2B,standard,1,0,0, 
30,2032,49.83333333,232.6,2B,standard,1,0,0, 
31,2033,49.83333333,232.3333333,2B,standard,1,0,0, 
32,2034,50,232.3333333,2B,standard,1,0,0, 
33,2035,50.33333333,231.8166667,2B,standard,1,0,0, 
34,2037,50.5,231.55,2B,standard,1,0,0, 
35,2038,50.66666667,231.5333333,2B,standard,1,0,1,Scott Islands NWA
36,2039,50.66666667,231.2666667,2B,standard,1,0,1,Scott Islands NWA
37,2040,50.83333333,231.5333333,2B,standard,1,0,1,Scott Islands NWA
38,2041,51,232.05,2B,standard,1,0,0, 
39,2042,51,231.7833333,2B,standard,1,0,0, 
40,2043,51.16666667,232.0666667,2B,standard,1,0,0, 
41,2044,50.83333333,231,2B,standard,1,0,1,Scott Islands NWA
42,2045,50.83333333,230.7333333,2B,standard,1,0,1,Scott Islands NWA
43,2046,51,231.5333333,2B,standard,1,0,1,Scott Islands NWA
44,2047,51,231.2666667,2B,standard,1,0,1,Scott Islands NWA
45,2048,51,231,2B,standard,1,0,1,Scott Islands NWA
46,2049,51,230.7333333,2B,standard,1,0,1,Scott Islands NWA
47,2050,51,230.4666667,2B,standard,1,0,1,Scott Islands NWA
48,2051,51.16666667,231.8,2B,standard,1,0,0, 
49,2052,51.16666667,231.5333333,2B,standard,1,0,0, 
50,2053,51.16666667,231.2666667,2B,standard,1,0,1,Scott Islands NWA
51,2054,51.16666667,231,2B,standard,1,0,1,Scott Islands NWA
52,2055,51.16666667,230.7333333,2B,standard,1,0,1,Scott Islands NWA
53,2056,51.16666667,230.4666667,2B,standard,1,0,1,Scott Islands NWA
54,2057,51.33333333,232.0833333,2B,standard,1,0,0, 
55,2058,51.33333333,231.8166667,2B,standard,1,0,0, 
56,2059,51.33333333,231.55,2B,standard,1,0,0, 
57,2060,51.33333333,231.2833333,2B,standard,1,0,1,Hecate MPA
58,2061,51.33333333,231.0166667,2B,standard,1,0,1,Hecate MPA
59,2062,51.33333333,230.75,2B,standard,1,0,0, 
60,2063,51.33333333,230.4833333,2B,standard,1,0,0, 
61,2064,51.33333333,230.2166667,2B,standard,1,0,0, 
62,2065,51.5,231.8166667,2B,standard,1,0,0, 
63,2066,51.5,231.55,2B,standard,1,0,0, 
64,2067,51.5,231.2833333,2B,standard,1,0,0, 
65,2068,51.5,231.0166667,2B,standard,1,0,0, 
66,2069,51.5,230.75,2B,standard,1,0,0, 
67,2070,51.5,230.4833333,2B,standard,1,0,0, 
68,2071,51.5,230.2166667,2B,standard,1,0,0, 
69,2072,51.5,229.95,2B,standard,1,0,0, 
70,2073,51.66666667,231.5666667,2B,standard,1,0,0, 
