Row number,Year,Stlkey,Station,Setno,IPHC Species Code,Scientific Name,Species Name,SampleType,HooksFished,HooksRetrieved,HooksObserved,Number Observed
1,2021,20210014,2266,1,31,Sebastes aleutianus,Rougheye Rockfish,20Hook,792.0,792.0,160.0,1.0
2,2021,20210014,2266,1,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,26.0
3,2021,20210014,2266,1,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
4,2021,20210014,2266,1,303,,Hook with Skin,20Hook,792.0,792.0,160.0,53.0
5,2021,20210014,2266,1,304,,Empty Hook,20Hook,792.0,792.0,160.0,43.0
6,2021,20210014,2266,1,305,,Hook with Bait,20Hook,792.0,792.0,160.0,33.0
7,2021,20210014,2266,1,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,1.0
8,2021,20210015,2267,2,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,784.0,784.0,160.0,1.0
9,2021,20210015,2267,2,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,784.0,784.0,160.0,15.0
10,2021,20210015,2267,2,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,4.0
11,2021,20210015,2267,2,143,Raja rhina,Longnose Skate,20Hook,784.0,784.0,160.0,2.0
12,2021,20210015,2267,2,303,,Hook with Skin,20Hook,784.0,784.0,160.0,19.0
13,2021,20210015,2267,2,304,,Empty Hook,20Hook,784.0,784.0,160.0,102.0
14,2021,20210015,2267,2,305,,Hook with Bait,20Hook,784.0,784.0,160.0,3.0
15,2021,20210016,2270,3,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,18.0
16,2021,20210016,2270,3,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,5.0
17,2021,20210016,2270,3,303,,Hook with Skin,20Hook,792.0,792.0,160.0,13.0
18,2021,20210016,2270,3,304,,Empty Hook,20Hook,792.0,792.0,160.0,119.0
19,2021,20210016,2270,3,305,,Hook with Bait,20Hook,792.0,792.0,160.0,2.0
20,2021,20210017,2272,4,31,Sebastes aleutianus,Rougheye Rockfish,20Hook,784.0,784.0,160.0,1.0
21,2021,20210017,2272,4,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,15.0
22,2021,20210017,2272,4,100,Junkis nonspecificus,Inanimate Object,20Hook,784.0,784.0,160.0,1.0
23,2021,20210017,2272,4,303,,Hook with Skin,20Hook,784.0,784.0,160.0,71.0
24,2021,20210017,2272,4,304,,Empty Hook,20Hook,784.0,784.0,160.0,45.0
25,2021,20210017,2272,4,305,,Hook with Bait,20Hook,784.0,784.0,160.0,26.0
26,2021,20210018,2275,5,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,10.0
27,2021,20210018,2275,5,216,Solaster sp,Solaster sp (starfish),20Hook,792.0,792.0,160.0,1.0
28,2021,20210018,2275,5,303,,Hook with Skin,20Hook,792.0,792.0,160.0,40.0
29,2021,20210018,2275,5,304,,Empty Hook,20Hook,792.0,792.0,160.0,64.0
30,2021,20210018,2275,5,305,,Hook with Bait,20Hook,792.0,792.0,160.0,44.0
31,2021,20210019,2268,6,21,Ophiodon elongatus,Lingcod,20Hook,784.0,784.0,160.0,1.0
32,2021,20210019,2268,6,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,1.0
33,2021,20210019,2268,6,87,Sebastes maliger,Quillback Rockfish,20Hook,784.0,784.0,160.0,1.0
34,2021,20210019,2268,6,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784.0,784.0,160.0,1.0
35,2021,20210019,2268,6,141,Raja binoculata,Big Skate,20Hook,784.0,784.0,160.0,2.0
36,2021,20210019,2268,6,216,Solaster sp,Solaster sp (starfish),20Hook,784.0,784.0,160.0,3.0
37,2021,20210019,2268,6,219,Ophuroidea,Brittle Star,20Hook,784.0,784.0,160.0,1.0
38,2021,20210019,2268,6,303,,Hook with Skin,20Hook,784.0,784.0,160.0,12.0
39,2021,20210019,2268,6,304,,Empty Hook,20Hook,784.0,784.0,160.0,112.0
40,2021,20210019,2268,6,305,,Hook with Bait,20Hook,784.0,784.0,160.0,12.0
41,2021,20210019,2268,6,307,,Bent/Broken/Missing,20Hook,784.0,784.0,160.0,3.0
42,2021,20210020,2073,7,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,784.0,784.0,160.0,1.0
43,2021,20210020,2073,7,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,2.0
44,2021,20210020,2073,7,143,Raja rhina,Longnose Skate,20Hook,784.0,784.0,160.0,1.0
45,2021,20210020,2073,7,303,,Hook with Skin,20Hook,784.0,784.0,160.0,16.0
46,2021,20210020,2073,7,304,,Empty Hook,20Hook,784.0,784.0,160.0,132.0
47,2021,20210020,2073,7,307,,Bent/Broken/Missing,20Hook,784.0,784.0,160.0,1.0
48,2021,20210021,2078,8,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,784.0,784.0,160.0,1.0
49,2021,20210021,2078,8,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,784.0,784.0,160.0,2.0
50,2021,20210021,2078,8,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,1.0
51,2021,20210021,2078,8,303,,Hook with Skin,20Hook,784.0,784.0,160.0,43.0
52,2021,20210021,2078,8,304,,Empty Hook,20Hook,784.0,784.0,160.0,103.0
53,2021,20210021,2078,8,305,,Hook with Bait,20Hook,784.0,784.0,160.0,1.0
54,2021,20210021,2078,8,307,,Bent/Broken/Missing,20Hook,784.0,784.0,160.0,1.0
55,2021,20210022,2066,9,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,1.0
56,2021,20210022,2066,9,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,5.0
57,2021,20210022,2066,9,28,Gadus chalcogrammus,Walleye Pollock,20Hook,792.0,792.0,160.0,1.0
58,2021,20210022,2066,9,90,Sebastes babcocki,Redbanded Rockfish,20Hook,792.0,792.0,160.0,3.0
59,2021,20210022,2066,9,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,2.0
