Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2021,20210014,VNI,2266,1,2B,92,Goose Is.,Standard Grid,30-May-21,Y,,51.66730,-127.35150,123,51.66650,-127.41230,151,51.6668,-127.3818,137,51.666,-127.381,5,1,170,8,8,8,99,7.95,436,51.66450,-127.40930,263,6.8194,203,7.678,33.230,,2.8121,,
2,2021,20210015,VNI,2267,2,2B,92,Goose Is.,Standard Grid,31-May-21,Y,,51.65120,-127.91470,184,51.68920,-127.91670,187,51.6702,-127.9157,185,51.666,-127.915,42,12,758,111,8,8,98,7.87,453,51.68570,-127.91520,340,6.5712,322,7.652,33.425,,2.5424,,
3,2021,20210016,VNI,2270,3,2B,92,Goose Is.,Standard Grid,31-May-21,Y,,51.80530,-127.91720,184,51.85250,-127.91670,174,51.8288,-127.9170,176,51.833,-127.915,15,3,280,26,8,8,99,7.95,623,51.81170,-127.91720,347,6.6370,329,7.641,33.375,,2.6234,,
4,2021,20210017,VNI,2272,4,2B,92,Goose Is.,Standard Grid,01-Jun-21,Y,,52.17350,-126.86680,145,52.14870,-126.81520,157,52.1610,-126.8410,130,52.165,-126.841,2,0,64,0,8,8,98,7.87,434,52.14880,-126.82030,283,7.4292,267,7.565,33.092,,2.2042,,
5,2021,20210018,VNI,2275,5,2B,92,Goose Is.,Standard Grid,01-Jun-21,Y,,52.33120,-127.06280,105,52.33330,-127.12720,280,52.3322,-127.0950,119,52.332,-127.103,1,0,61,0,8,8,99,7.95,548,52.33250,-127.05700,110,7.5926,99,7.534,32.914,,2.2548,,
6,2021,20210019,VNI,2268,6,2B,91,Goose Is.,Standard Grid,02-Jun-21,Y,,51.66380,-128.18320,29,51.66350,-128.24580,58,51.6637,-128.2145,42,51.667,-128.183,25,31,595,206,8,8,98,7.87,430,51.66500,-128.18230,53,7.9282,39,7.948,31.982,,5.0334,,
7,2021,20210020,VNI,2073,7,2B,91,Goose Is.,Standard Grid,02-Jun-21,Y,,51.66630,-128.40170,79,51.66730,-128.46280,78,51.6668,-128.4323,79,51.667,-128.433,9,14,123,117,8,8,98,7.87,545,51.66670,-128.39549,137,6.2247,127,7.619,33.692,,1.9855,,
8,2021,20210021,VNI,2078,8,2B,91,Goose Is.,Standard Grid,02-Jun-21,Y,,51.82470,-128.46480,51,51.82500,-128.40200,90,51.8248,-128.4335,81,51.833,-128.433,10,31,206,236,8,8,98,7.87,661,51.82550,-128.39549,153,6.1569,146,7.589,33.774,,1.6652,,
9,2021,20210022,VNI,2066,9,2B,91,Goose Is.,Standard Grid,03-Jun-21,Y,,51.56100,-128.42830,96,51.52170,-128.42430,100,51.5413,-128.4263,98,51.500,-128.450,16,24,308,216,8,8,99,7.95,475,51.51770,-128.42300,185,5.9330,168,7.615,33.895,,1.7968,,
10,2021,20210023,VNI,2065,10,2B,91,Goose Is.,Standard Grid,03-Jun-21,Y,,51.55650,-128.21880,50,51.51970,-128.22000,45,51.5382,-128.2193,48,51.500,-128.183,23,30,755,237,8,8,99,7.95,604,51.55650,-128.22231,93,7.0771,79,7.795,32.750,,4.3145,,
11,2021,20210024,VNI,2058,11,2B,91,Goose Is.,Standard Grid,03-Jun-21,N,DS,51.35470,-128.18330,64,51.31550,-128.18330,32,51.3352,-128.1833,49,51.333,-128.183,2,19,25,132,8,8,99,7.95,692,51.36600,-128.18080,117,6.6424,100,7.748,33.307,,3.2792,,
12,2021,20210025,VNI,2057,12,2B,91,Goose Is.,Standard Grid,04-Jun-21,Y,,51.35280,-127.91530,71,51.31450,-127.91650,68,51.3337,-127.9158,71,51.333,-127.917,6,10,188,64,8,8,98,7.87,407,51.35480,-127.91620,132,6.6735,116,7.685,33.298,,2.8164,,
13,2021,20210026,VNI,2264,13,2B,92,Goose Is.,Standard Grid,04-Jun-21,Y,,51.32600,-127.68050,72,51.32600,-127.61870,90,51.3260,-127.6497,66,51.333,-127.650,7,1,305,10,8,8,99,7.95,509,51.32500,-127.68480,132,7.1653,117,7.658,33.000,,2.8042,,
14,2021,20210027,VNI,2072,14,2B,102,Goose Is.,Standard Grid,07-Jun-21,Y,,51.49950,-130.07570,143,51.50030,-130.01330,214,51.5000,-130.0445,162,51.500,-130.050,23,1,836,8,8,8,99,7.95,444,51.50520,-130.07021,265,5.4788,248,7.643,33.933,,1.9245,,
15,2021,20210028,VNI,2071,15,2B,102,Goose Is.,Standard Grid,07-Jun-21,Y,,51.50120,-129.81450,94,51.50030,-129.75450,88,51.5008,-129.7845,91,51.500,-129.783,46,12,"1,168",104,8,8,99,7.95,650,51.50000,-129.81900,174,5.8265,158,7.616,33.863,,1.9277,,
16,2021,20210029,VNI,2077,16,2B,102,Goose Is.,Standard Grid,07-Jun-21,Y,,51.66630,-129.75430,115,51.66570,-129.81480,168,51.6660,-129.7845,142,51.667,-129.783,10,6,216,54,8,8,99,7.95,876,51.66530,-129.75400,212,5.5648,199,7.633,33.914,,1.7696,,
17,2021,20210030,VNI,2130,17,2B,112,Charlotte,Standard Grid,08-Jun-21,Y,,52.50050,-131.45100,59,52.49980,-131.38330,72,52.5002,-131.4172,68,52.500,-131.417,27,6,574,61,8,8,99,7.95,423,52.50180,-131.45200,121,6.8449,107,7.764,32.730,,4.0743,,
18,2021,20210031,VNI,2129,18,2B,112,Charlotte,Standard Grid,08-Jun-21,Y,,52.49900,-131.16620,43,52.50030,-131.10180,60,52.4997,-131.1340,46,52.500,-131.133,64,57,"1,177",453,8,8,99,7.95,541,52.49830,-131.16980,80,7.3827,65,7.919,32.353,,5.0875,,
